Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: double, Execution time: 457μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: double, Execution time: 610μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: double, Execution time: 629μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: double, Execution time: 1097μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: double, Execution time: 2462μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: double, Execution time: 4057μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: double, Execution time: 3039μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: double, Execution time: 3207μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: double, Execution time: 3056μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: uint8_t, Execution time: 658μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: uint8_t, Execution time: 594μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: uint8_t, Execution time: 651μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: uint8_t, Execution time: 846μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: uint8_t, Execution time: 1837μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: uint8_t, Execution time: 2675μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: uint8_t, Execution time: 1875μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: uint8_t, Execution time: 2113μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: uint8_t, Execution time: 1957μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: double, Execution time: 183μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: double, Execution time: 504μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: double, Execution time: 808μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: double, Execution time: 1575μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: double, Execution time: 6596μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: double, Execution time: 12416μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: double, Execution time: 24486μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: double, Execution time: 28409μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: double, Execution time: 17670μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: uint8_t, Execution time: 215μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: uint8_t, Execution time: 560μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: uint8_t, Execution time: 982μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: uint8_t, Execution time: 1780μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: uint8_t, Execution time: 4625μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: uint8_t, Execution time: 8731μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: uint8_t, Execution time: 10531μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: uint8_t, Execution time: 26411μs
Test: Transpose, Class: COOMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: uint8_t, Execution time: 31724μs
